날짜,월,일,평균기온,평균습도,평균풍속,일조시간,일조량,북위,해발고도,풍속계높이,u_2,P,Δ,γ (gamma),,,,,e_s,e_a,e_s-e_a,J(<=6),J(>7),dr,δ,Φ,ω_s,Ra,N,Rs,Rso,Rs/Rso,R_ns,R_nl,Rn,G,0.408(Rn-G),,,PET_new,PET_old
1974-01-12,1 ,12 ,-2.6,69.8,0.9,7.7,25.55,37.2,221.1,10.3,0.67 ,98.7 ,0.038 ,0.066 ,1.228 ,0.318 ,0.556 ,2.230 ,0.504 ,0.352 ,0.152 ,12 ,(1),1.032 ,-0.379 ,0.649 ,1.264 ,16.412 ,9.656 ,10.647 ,12.382 ,0.860 ,8.198 ,5.473 ,2.725 ,0,1.112 ,0.353 ,0.189 ,0.542 ,-0.174
1974-01-13,1 ,13 ,-3.8,73.3,1.1,7.8,27.15,37.2,221.1,10.3,0.82 ,98.7 ,0.035 ,0.066 ,1.278 ,0.292 ,0.554 ,2.738 ,0.461 ,0.338 ,0.123 ,13 ,(1),1.032 ,-0.376 ,0.649 ,1.266 ,16.515 ,9.675 ,10.786 ,12.459 ,0.866 ,8.305 ,5.464 ,2.841 ,0,1.159 ,0.339 ,0.187 ,0.525 ,-0.154
1974-01-14,1 ,14 ,-2.2,68.3,0.7,6.8,25.59,37.2,221.1,10.3,0.52 ,98.7 ,0.039 ,0.066 ,1.177 ,0.333 ,0.567 ,1.732 ,0.520 ,0.355 ,0.165 ,14 ,(1),1.032 ,-0.373 ,0.649 ,1.269 ,16.621 ,9.695 ,9.984 ,12.540 ,0.796 ,7.688 ,4.916 ,2.772 ,0,1.131 ,0.376 ,0.162 ,0.538 ,-0.234
1974-01-15,1 ,15 ,-2.4,63.3,2.2,7.9,26.72,37.2,221.1,10.3,1.64 ,98.7 ,0.038 ,0.066 ,1.557 ,0.271 ,0.468 ,5.448 ,0.512 ,0.324 ,0.188 ,15 ,(1),1.032 ,-0.370 ,0.649 ,1.272 ,16.732 ,9.716 ,10.986 ,12.623 ,0.870 ,8.459 ,5.658 ,2.801 ,0,1.143 ,0.310 ,0.479 ,0.789 ,0.105
1974-01-16,1 ,16 ,-7,44,1.7,8,29.27,37.2,221.1,10.3,1.27 ,98.7 ,0.028 ,0.066 ,1.430 ,0.229 ,0.539 ,4.283 ,0.361 ,0.159 ,0.202 ,16 ,(1),1.032 ,-0.367 ,0.649 ,1.275 ,16.847 ,9.737 ,11.133 ,12.710 ,0.876 ,8.572 ,5.821 ,2.751 ,0,1.122 ,0.257 ,0.467 ,0.724 ,0.053
1974-01-17,1 ,17 ,-5.1,60,1.7,7.3,26.39,37.2,221.1,10.3,1.27 ,98.7 ,0.032 ,0.066 ,1.430 ,0.253 ,0.522 ,4.252 ,0.418 ,0.251 ,0.167 ,17 ,(1),1.032 ,-0.364 ,0.649 ,1.277 ,16.966 ,9.759 ,10.587 ,12.800 ,0.827 ,8.152 ,5.238 ,2.914 ,0,1.189 ,0.301 ,0.371 ,0.672 ,0.039
1974-01-18,1 ,18 ,-6.2,63.3,1.3,8.3,29.08,37.2,221.1,10.3,0.97 ,98.7 ,0.029 ,0.066 ,1.329 ,0.253 ,0.562 ,3.265 ,0.384 ,0.243 ,0.141 ,18 ,(1),1.031 ,-0.361 ,0.649 ,1.280 ,17.089 ,9.781 ,11.523 ,12.892 ,0.894 ,8.872 ,5.780 ,3.093 ,0,1.262 ,0.319 ,0.259 ,0.578 ,-0.1
1974-01-19,1 ,19 ,-3.9,73.3,1,5.9,25.29,37.2,221.1,10.3,0.74 ,98.7 ,0.034 ,0.066 ,1.253 ,0.295 ,0.563 ,2.490 ,0.458 ,0.335 ,0.122 ,19 ,(1),1.031 ,-0.357 ,0.649 ,1.283 ,17.216 ,9.805 ,9.484 ,12.988 ,0.730 ,7.303 ,4.242 ,3.060 ,0,1.249 ,0.368 ,0.171 ,0.540 ,-0.129
1974-01-20,1 ,20 ,-2.2,67.8,0.9,1.4,17.28,37.2,221.1,10.3,0.67 ,98.7 ,0.039 ,0.066 ,1.228 ,0.323 ,0.551 ,2.227 ,0.520 ,0.352 ,0.167 ,20 ,(1),1.031 ,-0.354 ,0.649 ,1.287 ,17.347 ,9.829 ,5.572 ,13.087 ,0.426 ,4.291 ,1.526 ,2.764 ,0,1.128 ,0.365 ,0.205 ,0.570 ,0.045
1974-01-21,1 ,21 ,-0.1,90.3,1.7,0,7.64,37.2,221.1,10.3,1.27 ,98.7 ,0.044 ,0.066 ,1.430 ,0.320 ,0.475 ,4.174 ,0.606 ,0.548 ,0.059 ,21 ,(1),1.031 ,-0.350 ,0.649 ,1.290 ,17.481 ,9.853 ,4.370 ,13.188 ,0.331 ,3.365 ,0.627 ,2.738 ,0,1.117 ,0.357 ,0.117 ,0.474 ,0.251
1974-01-22,1 ,22 ,-3.2,74.3,1.6,4.4,21.09,37.2,221.1,10.3,1.19 ,98.7 ,0.036 ,0.066 ,1.405 ,0.281 ,0.512 ,3.974 ,0.482 ,0.358 ,0.124 ,22 ,(1),1.031 ,-0.347 ,0.649 ,1.293 ,17.620 ,9.878 ,8.329 ,13.293 ,0.627 ,6.413 ,3.308 ,3.105 ,0,1.267 ,0.356 ,0.252 ,0.608 ,0.059
1974-01-23,1 ,23 ,-11.1,36.5,3.4,8.7,31.48,37.2,221.1,10.3,2.53 ,98.7 ,0.021 ,0.066 ,1.861 ,0.146 ,0.459 ,8.699 ,0.262 ,0.096 ,0.166 ,23 ,(1),1.030 ,-0.343 ,0.649 ,1.296 ,17.763 ,9.904 ,12.242 ,13.400 ,0.914 ,9.426 ,6.061 ,3.366 ,0,1.373 ,0.201 ,0.663 ,0.864 ,0.402
1974-01-24,1 ,24 ,-13.9,57.5,1.3,8.7,33.31,37.2,221.1,10.3,0.97 ,98.7 ,0.017 ,0.066 ,1.329 ,0.164 ,0.629 ,3.362 ,0.209 ,0.120 ,0.089 ,24 ,(1),1.030 ,-0.339 ,0.649 ,1.300 ,17.909 ,9.930 ,12.322 ,13.511 ,0.912 ,9.488 ,5.691 ,3.797 ,0,1.549 ,0.254 ,0.187 ,0.442 ,-0.017
1974-01-25,1 ,25 ,-11.8,60.3,0.9,8.1,31.85,37.2,221.1,10.3,0.67 ,98.7 ,0.020 ,0.066 ,1.228 ,0.198 ,0.653 ,2.309 ,0.247 ,0.149 ,0.098 ,25 ,(1),1.030 ,-0.335 ,0.649 ,1.303 ,18.059 ,9.957 ,11.860 ,13.624 ,0.871 ,9.132 ,5.398 ,3.734 ,0,1.523 ,0.302 ,0.148 ,0.450 ,-0.11
1974-01-26,1 ,26 ,-10.4,63.3,0.6,7.6,29.31,37.2,221.1,10.3,0.45 ,98.7 ,0.022 ,0.066 ,1.152 ,0.226 ,0.672 ,1.531 ,0.277 ,0.175 ,0.102 ,26 ,(1),1.030 ,-0.331 ,0.649 ,1.307 ,18.212 ,9.985 ,11.484 ,13.740 ,0.836 ,8.843 ,5.119 ,3.723 ,0,1.519 ,0.343 ,0.105 ,0.447 ,-0.162
1974-01-27,1 ,27 ,-6.9,68,2.2,7.8,29.43,37.2,221.1,10.3,1.64 ,98.7 ,0.028 ,0.066 ,1.557 ,0.216 ,0.504 ,5.540 ,0.364 ,0.248 ,0.117 ,27 ,(1),1.029 ,-0.327 ,0.649 ,1.311 ,18.369 ,10.013 ,11.747 ,13.858 ,0.848 ,9.045 ,5.292 ,3.754 ,0,1.531 ,0.330 ,0.325 ,0.656 ,0.042
1974-01-28,1 ,28 ,-13.1,70,0.5,6.1,26.35,37.2,221.1,10.3,0.37 ,98.7 ,0.018 ,0.066 ,1.127 ,0.197 ,0.713 ,1.289 ,0.223 ,0.156 ,0.067 ,28 ,(1),1.029 ,-0.322 ,0.649 ,1.314 ,18.530 ,10.042 ,10.261 ,13.979 ,0.734 ,7.901 ,4.092 ,3.809 ,0,1.554 ,0.306 ,0.061 ,0.368 ,-0.077
1974-01-29,1 ,29 ,-8.9,70.5,0.8,8.1,24.69,37.2,221.1,10.3,0.60 ,98.7 ,0.024 ,0.066 ,1.203 ,0.237 ,0.635 ,2.030 ,0.312 ,0.220 ,0.092 ,29 ,(1),1.029 ,-0.318 ,0.649 ,1.318 ,18.694 ,10.071 ,12.192 ,14.103 ,0.864 ,9.388 ,5.360 ,4.028 ,0,1.643 ,0.389 ,0.118 ,0.507 ,-0.077
1974-01-30,1 ,30 ,-5,77.8,0.7,7.5,30.47,37.2,221.1,10.3,0.52 ,98.7 ,0.032 ,0.066 ,1.177 ,0.293 ,0.601 ,1.750 ,0.421 ,0.328 ,0.094 ,30 ,(1),1.029 ,-0.314 ,0.649 ,1.322 ,18.862 ,10.100 ,11.719 ,14.230 ,0.824 ,9.023 ,5.019 ,4.005 ,0,1.634 ,0.478 ,0.098 ,0.577 ,-0.278
1974-01-31,1 ,31 ,-5.5,75.5,1.3,6.7,29.8,37.2,221.1,10.3,0.97 ,98.7 ,0.031 ,0.066 ,1.329 ,0.262 ,0.556 ,3.257 ,0.405 ,0.306 ,0.099 ,31 ,(1),1.028 ,-0.309 ,0.649 ,1.326 ,19.033 ,10.130 ,11.052 ,14.359 ,0.770 ,8.510 ,4.553 ,3.957 ,0,1.615 ,0.423 ,0.180 ,0.602 ,-0.15
1974-02-01,2 ,1 ,-6.2,66.5,1,8.3,28.16,37.2,221.1,10.3,0.74 ,98.7 ,0.029 ,0.066 ,1.253 ,0.264 ,0.587 ,2.512 ,0.384 ,0.256 ,0.129 ,32 ,(1),1.028 ,-0.304 ,0.649 ,1.330 ,19.207 ,10.161 ,12.647 ,14.491 ,0.873 ,9.738 ,5.553 ,4.185 ,0,1.708 ,0.451 ,0.190 ,0.641 ,0.743
1974-02-02,2 ,2 ,-5.5,76.5,0.7,8.1,27.49,37.2,221.1,10.3,0.52 ,98.7 ,0.031 ,0.066 ,1.177 ,0.286 ,0.607 ,1.754 ,0.405 ,0.310 ,0.095 ,33 ,(1),1.028 ,-0.300 ,0.649 ,1.334 ,19.385 ,10.192 ,12.549 ,14.625 ,0.858 ,9.663 ,5.331 ,4.332 ,0,1.768 ,0.505 ,0.101 ,0.607 ,0.722
1974-02-03,2 ,3 ,-1.8,74.8,1,8,30.01,37.2,221.1,10.3,0.74 ,98.7 ,0.040 ,0.066 ,1.253 ,0.325 ,0.539 ,2.471 ,0.535 ,0.400 ,0.135 ,34 ,(1),1.028 ,-0.295 ,0.649 ,1.338 ,19.566 ,10.224 ,12.547 ,14.761 ,0.850 ,9.661 ,5.330 ,4.331 ,0,1.767 ,0.574 ,0.180 ,0.753 ,0.892
1974-02-04,2 ,4 ,0.1,72,0.9,5.3,24.19,37.2,221.1,10.3,0.67 ,98.7 ,0.045 ,0.066 ,1.228 ,0.357 ,0.524 ,2.208 ,0.615 ,0.443 ,0.172 ,35 ,(1),1.027 ,-0.290 ,0.649 ,1.342 ,19.750 ,10.256 ,10.041 ,14.900 ,0.674 ,7.731 ,3.777 ,3.954 ,0,1.613 ,0.576 ,0.199 ,0.775 ,0.878
1974-02-05,2 ,5 ,1.5,73.3,1.4,0,15.1,37.2,221.1,10.3,1.04 ,98.7 ,0.049 ,0.066 ,1.354 ,0.355 ,0.476 ,3.418 ,0.681 ,0.499 ,0.182 ,36 ,(1),1.027 ,-0.285 ,0.649 ,1.347 ,19.937 ,10.288 ,4.984 ,15.041 ,0.331 ,3.838 ,0.655 ,3.183 ,0,1.299 ,0.461 ,0.296 ,0.757 ,0.849
1974-02-06,2 ,6 ,-0.5,51.3,2.9,1.3,19.2,37.2,221.1,10.3,2.16 ,98.7 ,0.043 ,0.066 ,1.734 ,0.274 ,0.418 ,7.131 ,0.589 ,0.302 ,0.287 ,37 ,(1),1.027 ,-0.280 ,0.649 ,1.351 ,20.127 ,10.321 ,6.299 ,15.184 ,0.415 ,4.850 ,1.497 ,3.353 ,0,1.368 ,0.375 ,0.856 ,1.231 ,1.264
1974-02-07,2 ,7 ,-1.1,77,1.8,0,11.06,37.2,221.1,10.3,1.34 ,98.7 ,0.041 ,0.066 ,1.456 ,0.302 ,0.479 ,4.436 ,0.564 ,0.434 ,0.130 ,38 ,(1),1.026 ,-0.275 ,0.649 ,1.355 ,20.320 ,10.354 ,5.080 ,15.330 ,0.331 ,3.912 ,0.648 ,3.264 ,0,1.332 ,0.402 ,0.276 ,0.678 ,0.704
1974-02-08,2 ,8 ,-4.6,76,2.7,1.1,19.87,37.2,221.1,10.3,2.01 ,98.7 ,0.033 ,0.066 ,1.683 ,0.229 ,0.458 ,6.741 ,0.434 ,0.330 ,0.104 ,39 ,(1),1.026 ,-0.269 ,0.649 ,1.360 ,20.516 ,10.388 ,6.215 ,15.478 ,0.402 ,4.786 ,1.272 ,3.514 ,0,1.434 ,0.329 ,0.322 ,0.650 ,0.737
1974-02-09,2 ,9 ,-8.7,58.3,1.3,2.7,23.27,37.2,221.1,10.3,0.97 ,98.7 ,0.025 ,0.066 ,1.329 ,0.222 ,0.586 ,3.296 ,0.317 ,0.185 ,0.132 ,40 ,(1),1.025 ,-0.264 ,0.649 ,1.364 ,20.714 ,10.422 ,7.862 ,15.627 ,0.503 ,6.054 ,2.209 ,3.844 ,0,1.569 ,0.347 ,0.255 ,0.602 ,0.674
1974-02-10,2 ,10 ,-6.4,65.5,2.6,6.8,32.71,37.2,221.1,10.3,1.94 ,98.7 ,0.029 ,0.066 ,1.658 ,0.211 ,0.476 ,6.535 ,0.378 ,0.248 ,0.131 ,41 ,(1),1.025 ,-0.259 ,0.649 ,1.369 ,20.916 ,10.456 ,12.030 ,15.779 ,0.762 ,9.263 ,4.558 ,4.705 ,0,1.920 ,0.405 ,0.406 ,0.811 ,0.886
1974-02-11,2 ,11 ,-9.6,42.8,2,8.8,39.46,37.2,221.1,10.3,1.49 ,98.7 ,0.023 ,0.066 ,1.506 ,0.191 ,0.537 ,5.088 ,0.295 ,0.126 ,0.169 ,42 ,(1),1.025 ,-0.253 ,0.649 ,1.373 ,21.120 ,10.491 ,14.138 ,15.933 ,0.887 ,10.886 ,5.822 ,5.064 ,0,2.066 ,0.394 ,0.461 ,0.855 ,0.905
1974-02-12,2 ,12 ,-6.9,72.5,2.6,3.4,18.51,37.2,221.1,10.3,1.94 ,98.7 ,0.028 ,0.066 ,1.658 ,0.205 ,0.479 ,6.547 ,0.364 ,0.264 ,0.100 ,43 ,(1),1.024 ,-0.247 ,0.649 ,1.378 ,21.326 ,10.526 ,8.776 ,16.089 ,0.545 ,6.757 ,2.552 ,4.205 ,0,1.716 ,0.352 ,0.314 ,0.666 ,0.676
1974-02-13,2 ,13 ,-6,75.5,0.9,7.8,34.92,37.2,221.1,10.3,0.67 ,98.7 ,0.030 ,0.066 ,1.228 ,0.271 ,0.594 ,2.259 ,0.390 ,0.295 ,0.096 ,44 ,(1),1.024 ,-0.242 ,0.649 ,1.382 ,21.535 ,10.561 ,13.336 ,16.246 ,0.821 ,10.269 ,4.999 ,5.269 ,0,2.150 ,0.582 ,0.128 ,0.710 ,0.806
1974-02-14,2 ,14 ,0.9,76.5,0.7,5.8,24.95,37.2,221.1,10.3,0.52 ,98.7 ,0.047 ,0.066 ,1.177 ,0.379 ,0.528 ,1.713 ,0.652 ,0.499 ,0.153 ,45 ,(1),1.024 ,-0.236 ,0.649 ,1.387 ,21.746 ,10.597 ,11.388 ,16.406 ,0.694 ,8.768 ,3.915 ,4.853 ,0,1.980 ,0.750 ,0.138 ,0.888 ,0.895
1974-02-15,2 ,15 ,1.9,86,1.6,0,3.1,37.2,221.1,10.3,1.19 ,98.7 ,0.050 ,0.066 ,1.405 ,0.352 ,0.461 ,3.900 ,0.701 ,0.603 ,0.098 ,46 ,(1),1.023 ,-0.230 ,0.649 ,1.392 ,21.960 ,10.633 ,5.490 ,16.567 ,0.331 ,4.227 ,0.632 ,3.595 ,0,1.467 ,0.517 ,0.176 ,0.693 ,0.554
1974-02-16,2 ,16 ,2.4,84,0.6,1.7,18.54,37.2,221.1,10.3,0.45 ,98.7 ,0.052 ,0.066 ,1.152 ,0.406 ,0.515 ,1.460 ,0.726 ,0.610 ,0.116 ,47 ,(1),1.023 ,-0.224 ,0.649 ,1.397 ,22.175 ,10.669 ,7.311 ,16.730 ,0.437 ,5.629 ,1.565 ,4.065 ,0,1.658 ,0.674 ,0.087 ,0.761 ,0.825
1974-02-17,2 ,17 ,2.2,82.8,0.6,6.4,30.19,37.2,221.1,10.3,0.45 ,98.7 ,0.051 ,0.066 ,1.152 ,0.403 ,0.518 ,1.461 ,0.716 ,0.593 ,0.123 ,48 ,(1),1.022 ,-0.219 ,0.649 ,1.401 ,22.393 ,10.706 ,12.292 ,16.894 ,0.728 ,9.465 ,4.138 ,5.326 ,0,2.173 ,0.877 ,0.093 ,0.970 ,1.041
1974-02-18,2 ,18 ,4.2,81.3,0.4,3,22.34,37.2,221.1,10.3,0.30 ,98.7 ,0.058 ,0.066 ,1.101 ,0.445 ,0.504 ,0.967 ,0.825 ,0.671 ,0.154 ,49 ,(1),1.022 ,-0.213 ,0.649 ,1.406 ,22.613 ,10.743 ,8.811 ,17.060 ,0.516 ,6.784 ,2.270 ,4.514 ,0,1.842 ,0.819 ,0.075 ,0.895 ,0.959
1974-02-19,2 ,19 ,2.5,90,0.6,0,7.21,37.2,221.1,10.3,0.45 ,98.7 ,0.052 ,0.066 ,1.152 ,0.408 ,0.514 ,1.459 ,0.731 ,0.658 ,0.073 ,50 ,(1),1.022 ,-0.207 ,0.649 ,1.411 ,22.835 ,10.780 ,5.709 ,17.227 ,0.331 ,4.396 ,0.624 ,3.772 ,0,1.539 ,0.628 ,0.055 ,0.683 ,0.579
1974-02-20,2 ,20 ,-0.6,46.3,2.7,8.9,36.67,37.2,221.1,10.3,2.01 ,98.7 ,0.043 ,0.066 ,1.683 ,0.279 ,0.428 ,6.642 ,0.585 ,0.271 ,0.314 ,51 ,(1),1.021 ,-0.200 ,0.649 ,1.416 ,23.059 ,10.817 ,15.251 ,17.396 ,0.877 ,11.743 ,6.025 ,5.718 ,0,2.333 ,0.651 ,0.893 ,1.544 ,1.387
1974-02-21,2 ,21 ,-0.4,61,0.9,5.5,27.02,37.2,221.1,10.3,0.67 ,98.7 ,0.043 ,0.066 ,1.228 ,0.350 ,0.530 ,2.212 ,0.593 ,0.362 ,0.231 ,52 ,(1),1.021 ,-0.194 ,0.649 ,1.421 ,23.284 ,10.855 ,11.720 ,17.566 ,0.667 ,9.024 ,3.823 ,5.202 ,0,2.122 ,0.742 ,0.271 ,1.013 ,0.911
1974-02-22,2 ,22 ,1.5,71.5,2.5,0,7.9,37.2,221.1,10.3,1.86 ,98.7 ,0.049 ,0.066 ,1.633 ,0.313 ,0.420 ,6.103 ,0.681 ,0.487 ,0.194 ,53 ,(1),1.020 ,-0.188 ,0.649 ,1.426 ,23.512 ,10.893 ,5.878 ,17.738 ,0.331 ,4.526 ,0.658 ,3.868 ,0,1.578 ,0.495 ,0.498 ,0.992 ,0.896
1974-02-23,2 ,23 ,-5.6,51.8,3.7,5.3,28.45,37.2,221.1,10.3,2.75 ,98.7 ,0.031 ,0.066 ,1.937 ,0.195 ,0.416 ,9.272 ,0.402 ,0.208 ,0.194 ,54 ,(1),1.020 ,-0.182 ,0.649 ,1.431 ,23.740 ,10.931 ,11.691 ,17.910 ,0.653 ,9.002 ,3.685 ,5.317 ,0,2.169 ,0.422 ,0.748 ,1.170 ,1.116
1974-02-24,2 ,24 ,-6.7,52.5,3.4,1.3,17.78,37.2,221.1,10.3,2.53 ,98.7 ,0.028 ,0.066 ,1.861 ,0.189 ,0.436 ,8.555 ,0.370 ,0.194 ,0.176 ,55 ,(1),1.019 ,-0.175 ,0.649 ,1.436 ,23.971 ,10.969 ,7.413 ,18.084 ,0.410 ,5.708 ,1.399 ,4.309 ,0,1.758 ,0.333 ,0.655 ,0.987 ,0.955
1974-02-25,2 ,25 ,-9.6,39.3,4.4,9.1,38.32,37.2,221.1,10.3,3.28 ,98.7 ,0.023 ,0.066 ,2.114 ,0.144 ,0.405 ,11.194 ,0.295 ,0.116 ,0.179 ,56 ,(1),1.019 ,-0.169 ,0.649 ,1.441 ,24.202 ,11.008 ,16.055 ,18.259 ,0.879 ,12.362 ,5.789 ,6.573 ,0,2.682 ,0.386 ,0.812 ,1.197 ,1.133
1974-02-26,2 ,26 ,-8.9,54.8,1.3,7.7,41.29,37.2,221.1,10.3,0.97 ,98.7 ,0.024 ,0.066 ,1.329 ,0.219 ,0.588 ,3.298 ,0.312 ,0.171 ,0.141 ,57 ,(1),1.018 ,-0.163 ,0.649 ,1.446 ,24.435 ,11.046 ,14.625 ,18.435 ,0.793 ,11.261 ,4.864 ,6.397 ,0,2.610 ,0.572 ,0.273 ,0.845 ,0.835
1974-02-27,2 ,27 ,-6,54.8,2.3,9.4,41.71,37.2,221.1,10.3,1.71 ,98.7 ,0.030 ,0.066 ,1.582 ,0.223 ,0.491 ,5.772 ,0.390 ,0.214 ,0.176 ,58 ,(1),1.018 ,-0.156 ,0.649 ,1.451 ,24.670 ,11.085 ,16.627 ,18.611 ,0.893 ,12.803 ,5.886 ,6.917 ,0,2.822 ,0.631 ,0.500 ,1.130 ,1.035
1974-02-28,2 ,28 ,-4.2,63,0.9,6.2,28.79,37.2,221.1,10.3,0.67 ,98.7 ,0.034 ,0.066 ,1.228 ,0.295 ,0.574 ,2.244 ,0.447 ,0.282 ,0.166 ,59 ,(1),1.017 ,-0.150 ,0.649 ,1.456 ,24.905 ,11.124 ,13.167 ,18.789 ,0.701 ,10.138 ,4.063 ,6.075 ,0,2.479 ,0.732 ,0.213 ,0.945 ,0.806
1974-03-01,3 ,1 ,-2,74.5,1.6,9.1,39.47,37.2,221.1,10.3,1.19 ,98.7 ,0.039 ,0.066 ,1.405 ,0.297 ,0.500 ,3.956 ,0.527 ,0.393 ,0.134 ,60 ,(1),1.017 ,-0.143 ,0.649 ,1.461 ,25.141 ,11.163 ,16.532 ,18.967 ,0.872 ,12.730 ,5.528 ,7.202 ,0,2.939 ,0.874 ,0.266 ,1.140 ,1.969
1974-03-02,3 ,2 ,0.5,77.5,1,6.6,28.63,37.2,221.1,10.3,0.74 ,98.7 ,0.046 ,0.066 ,1.253 ,0.358 ,0.512 ,2.450 ,0.633 ,0.491 ,0.143 ,61 ,(1),1.016 ,-0.136 ,0.649 ,1.466 ,25.379 ,11.203 ,13.820 ,19.146 ,0.722 ,10.642 ,4.154 ,6.488 ,0,2.647 ,0.948 ,0.179 ,1.127 ,1.769
